Auvergne-Rhône-Alpes;12;7 948 287;114;Ain, Allier, Ardèche, Cantal, Drôme, Isère, Loire, Haute-Loire, Puy-de-Dôme, Rhône, Savoie,Haute-Savoie;Auvergne-Rhône-Alpes_region_locator_map.svg;https://commons.wikimedia.org/wiki/File:Auvergne-Rh%C3%B4ne-Alpes_region_locator_map.svg
Bourgogne-Franche-Comté;8;2 811 423;58,8;Côte-d'Or, Doubs, Jura, Nièvre, Haute-Saône, Saône-et-Loire, Yonne,Territoire de Belfort;Bourgogne-Franche-Comté_region_locator_map.svg;https://commons.wikimedia.org/wiki/File:Bourgogne-Franche-Comt%C3%A9_region_locator_map.svg
Bretagne;4;3 318 904;122;Côtes-d'Armor, Finistère, Ille-et-Vilaine,Morbihan;Bretagne_region_locator_map2.svg;https://commons.wikimedia.org/wiki/File:Bretagne_region_locator_map2.svg
Centre-Val de Loire;6;2 576 252;65,8;Cher, Eure-et-Loir, Indre, Indre-et-Loire, Loir-et-Cher,Loiret;Centre-Val_de_Loire_region_locator_map.svg;https://commons.wikimedia.org/wiki/File:Centre-Val_de_Loire_region_locator_map.svg
Corse;2;334 938;38,6;Corse-du-Sud,Haute-Corse;Corse_region_locator_map2.svg;https://commons.wikimedia.org/wiki/File:Corse_region_locator_map2.svg
Grand Est;10;5 549 586;96,6;Ardennes, Aube, Marne, Haute-Marne, Meurthe-et-Moselle, Meuse, Moselle, Bas-Rhin,Haut-Rhin,Vosges;Alsace-Champagne-Ardenne-Lorraine_region_locator_map.svg;https://commons.wikimedia.org/wiki/File:Alsace-Champagne-Ardenne-Lorraine_region_locator_map.svg
Hauts-de-France;5;6 003 815;188,7;Aisne, Nord, Oise, Pas-de-Calais,Somme;Hauts-de-France_region_locator_map.svg;https://commons.wikimedia.org/wiki/File:Hauts-de-France_region_locator_map.svg
Île-de-France;8;12 174 880;1 013,5;Paris, Seine-et-Marne, Yvelines, Essonne, Hauts-de-Seine, Seine-Saint-Denis, Val-de-Marne,Val-d'Oise;Île-de-France_region_locator_map2.svg;https://commons.wikimedia.org/wiki/File:%C3%8Ele-de-France_region_locator_map2.svg
Normandie;5;3 330 478;111,4;Calvados, Eure, Manche, Orne,Seine-Maritime;Normandie2014_region_locator_map.svg;https://commons.wikimedia.org/wiki/File:Normandie2014_region_locator_map.svg
Nouvelle-Aquitaine;12;5 956 978;70,9;Charente, Charente-Maritime, Corrèze, Creuse, Dordogne, Gironde, Landes, Lot-et-Garonne, Pyrénées-Atlantiques, Deux-Sèvres, Vienne,Haute-Vienne;Nouvelle-Aquitaine_region_locator_map.svg;https://commons.wikimedia.org/wiki/File:Nouvelle-Aquitaine_region_locator_map.svg
Occitanie;13;5 845 102;80,4;Ariège, Aude, Aveyron, Gard, Haute-Garonne, Gers, Hérault, Lot, Lozère, Hautes-Pyrénées, Pyrénées-Orientales, Tarn,Tarn-et-Garonne;Languedoc-Roussillon-Midi-Pyrénées_region_locator_map.svg;https://commons.wikimedia.org/wiki/File:Languedoc-Roussillon-Midi-Pyr%C3%A9n%C3%A9es_region_locator_map.svg
Pays de la Loire;5;3 757 600;117,1;Loire-Atlantique, Maine-et-Loire, Mayenne, Sarthe,Vendée;Pays_de_la_Loire_region_locator_map2.svg;https://commons.wikimedia.org/wiki/File:Pays_de_la_Loire_region_locator_map2.svg
Provence-Alpes-Côte d'Azur;6;5 030 890;160,2;Alpes-de-Haute-Provence, Hautes-Alpes, Alpes-Maritimes, Bouches-du-Rhône, Var,Vaucluse;Provence-Alpes-Côte_d'Azur_region_locator_map2.svg;https://commons.wikimedia.org/wiki/File:Provence-Alpes-C%C3%B4te_d%27Azur_region_locator_map2.svg
